Kategori,Kelompok Demografi,Jumlah,Persentase / Satuan
Agama,Islam,3628 Jiwa,99.6%
Agama,Kristen Protestan,8 Jiwa,0.2%
Agama,Katolik,4 Jiwa,0.1%
Agama,Hindu / Budha,0 Jiwa,0.0%
Pekerjaan,Nelayan & Budidaya Perikanan Laut,1420 Jiwa,39.0%
Pekerjaan,Pedagang & Olahan Laut UMKM,540 Jiwa,14.8%
Pekerjaan,Karyawan Swasta & Buruh,480 Jiwa,13.2%
Pekerjaan,PNS / TNI / Polri / BUMD,180 Jiwa,4.9%
Keluarga,Keluarga Sejahtera I (Mampu),420 KK,42.8%
Keluarga,Keluarga Sejahtera II (Sedang),310 KK,31.6%
Keluarga,Pra-Sejahtera (Penerima Bansos),250 KK,25.6%
